t,f
10/1/2004 0:00,3.9
10/1/2004 1:00,4.4
10/1/2004 2:00,4.4
10/1/2004 3:00,4.4
10/1/2004 4:00,4.7
10/1/2004 5:00,4.4
10/1/2004 6:00,4.4
10/1/2004 7:00,4.4
10/1/2004 8:00,4.7
10/1/2004 9:00,3.9
10/1/2004 10:00,3.9
10/1/2004 11:00,3.9
10/1/2004 12:00,3.9
10/1/2004 13:00,3.7
10/1/2004 14:00,3.9
10/1/2004 15:00,3.7
10/1/2004 16:00,3.9
10/1/2004 17:00,3.7
10/1/2004 18:00,3.7
10/1/2004 19:00,3.7
10/1/2004 20:00,3.7
10/1/2004 21:00,3.5
10/1/2004 22:00,3.5
10/1/2004 23:00,3.5
10/2/2004 0:00,3.5
10/2/2004 1:00,3.5
10/2/2004 2:00,3.5
10/2/2004 3:00,3.5
10/2/2004 4:00,3.5
10/2/2004 5:00,3.3
10/2/2004 6:00,3.5
10/2/2004 7:00,3.5
10/2/2004 8:00,3.5
10/2/2004 9:00,3.5
10/2/2004 10:00,3.5
10/2/2004 11:00,3.5
10/2/2004 12:00,3.5
10/2/2004 13:00,3.5
10/2/2004 14:00,3.5
10/2/2004 15:00,3.5
10/2/2004 16:00,3.5
10/2/2004 17:00,3.5
10/2/2004 18:00,3.5
10/2/2004 19:00,3.3
10/2/2004 20:00,3.3
10/2/2004 21:00,3.3
10/2/2004 22:00,3.3
10/2/2004 23:00,3.3
10/3/2004 0:00,3.3
10/3/2004 1:00,3.3
10/3/2004 2:00,3.3
10/3/2004 3:00,3.3
10/3/2004 4:00,3.3
10/3/2004 5:00,3.5
10/3/2004 6:00,3.5
10/3/2004 7:00,3.5
10/3/2004 8:00,3.7
10/3/2004 9:00,3.7
10/3/2004 10:00,3.7
10/3/2004 11:00,3.7
10/3/2004 12:00,3.7
10/3/2004 13:00,3.7
10/3/2004 14:00,3.5
10/3/2004 15:00,3.5
10/3/2004 16:00,3.5
10/3/2004 17:00,3.5
10/3/2004 18:00,3.5
10/3/2004 19:00,3.5
10/3/2004 20:00,3.5
10/3/2004 21:00,3.5
10/3/2004 22:00,3.5
10/3/2004 23:00,3.5
10/4/2004 0:00,3.5
10/4/2004 1:00,3.5
10/4/2004 2:00,3.5
10/4/2004 3:00,3.5
10/4/2004 4:00,3.3
10/4/2004 5:00,3.3
10/4/2004 6:00,3.5
10/4/2004 7:00,3.5
10/4/2004 8:00,3.7
10/4/2004 9:00,3.5
10/4/2004 10:00,3.5
10/4/2004 11:00,3.3
10/4/2004 12:00,3.5
10/4/2004 13:00,3.5
10/4/2004 14:00,3.7
10/4/2004 15:00,3.9
10/4/2004 16:00,3.9
10/4/2004 17:00,3.9
10/4/2004 18:00,3.9
10/4/2004 19:00,3.9
10/4/2004 20:00,3.9
10/4/2004 21:00,3.9
10/4/2004 22:00,3.9
10/4/2004 23:00,3.9
10/5/2004 0:00,3.7
10/5/2004 1:00,3.7
10/5/2004 2:00,3.7
10/5/2004 3:00,3.7
10/5/2004 4:00,3.7
10/5/2004 5:00,3.7
10/5/2004 6:00,3.7
10/5/2004 7:00,3.9
10/5/2004 8:00,4.2
10/5/2004 9:00,4.2
10/5/2004 10:00,4.2
10/5/2004 11:00,4.2
10/5/2004 12:00,4.2
10/5/2004 13:00,4.2
10/5/2004 14:00,3.9
10/5/2004 15:00,3.9
10/5/2004 16:00,3.9
10/5/2004 17:00,3.9
10/5/2004 18:00,3.7
10/5/2004 19:00,3.7
10/5/2004 20:00,3.7
10/5/2004 21:00,3.5
10/5/2004 22:00,3.5
10/5/2004 23:00,3.7
10/6/2004 0:00,6.1
10/6/2004 1:00,20
10/6/2004 2:00,27
10/6/2004 3:00,41
10/6/2004 4:00,70
10/6/2004 5:00,112
10/6/2004 6:00,120
10/6/2004 7:00,109
10/6/2004 8:00,108
10/6/2004 9:00,108
10/6/2004 10:00,106
10/6/2004 11:00,101
10/6/2004 12:00,92
10/6/2004 13:00,84
10/6/2004 14:00,77
10/6/2004 15:00,71
10/6/2004 16:00,66
10/6/2004 17:00,59
10/6/2004 18:00,52
10/6/2004 19:00,45
10/6/2004 20:00,39
10/6/2004 21:00,34
10/6/2004 22:00,30
10/6/2004 23:00,27
10/7/2004 0:00,25
10/7/2004 1:00,22
10/7/2004 2:00,21
10/7/2004 3:00,18
